PROTEOME ; FUNANNOTATE ; ERROR FUNANNOTATE
JH605026:c(129956-139681) ; ND ; ND
JH605030:20166-29855 ; JH6050:20031-29855(+); error - start (20166/20031)
JH605028:265750-273222 ; JH6050:265750-273222(+); OK
JH605028:c(184589-190474) ; ND ; ND
JH605025:c(458206-463980) ; ND ; ND
JH605026:331495-337182 ; JH6050:331495-337182(+); OK
JH605030:c(85713-91217) ; JH6050:85713-91217(-); OK
JH605023:429220-434676 ; JH6050:429220-434676(+); OK
JH605024:c(133998-138836) ; JH6050:133998-138836(-); OK
JH605023:c(506508-511226) ; ND ; ND
JH605028:25419-30002 ; JH6050:25674-30002(+); error - start (25419/25674)
JH605023:736669-741216 ; JH6050:736657-741216(+); error - start (736669/736657)
JH605028:291990-296939 ; JH6050:291990-296939(+); OK
JH605030:c(42854-47260) ; JH6050:42854-47260(-); OK
JH605025:491117-495517 ; JH6050:492062-495517(+); error - start (491117/492062)
JH605024:393041-397327 ; JH6050:393041-397327(+); OK
JH605028:c(87481-91656) ; JH6050:87481-91656(-); OK
JH605023:c(748829-752965) ; JH6050:748829-752965(-); OK
JH605026:280741-284823 ; ND ; ND
JH605028:213416-217495 ; JH6050:213416-217495(+); OK
JH605025:551250-555296 ; ND ; ND
JH605028:c(241844-245890) ; JH6050:241844-245890(-); OK
JH605025:192074-196084 ; JH6050:192074-196084(+); OK
JH605029:57982-61980 ; JH6050:57982-61980(+); OK
JH605028:115319-119242 ; JH6050:115319-119242(+); OK
JH605027:364209-368096 ; ND ; ND
JH605025:355458-359321 ; ND ; ND
JH605026:c(466529-470383) ; ND ; ND
JH605025:c(364518-368354) ; ND ; ND
JH605023:530753-534538 ; ND ; ND
JH605026:c(183195-186980) ; JH6050:183195-186980(-); OK
JH605025:145979-149713 ; JH6050:148106-149713(+); error - start (145979/148106)
JH605025:572615-576340 ; JH6050:572615-576340(+); OK
JH605027:60221-63913 ; JH6050:60221-63913(+); OK
JH605025:127530-131114 ; JH6050:127530-131114(+); OK
JH605023:c(445742-449290) ; JH6050:445742-449290(-); OK
JH605024:651113-654646 ; ND ; ND
JH605027:c(253945-257472) ; JH6050:253945-257472(-); OK
JH605023:c(61180-64665) ; ND ; ND
JH605025:c(137648-141079) ; JH6050:137648-141079(-); OK
JH605030:119893-123309 ; JH6050:119893-123309(+); OK
JH605023:585605-589018 ; JH6050:585605-589018(+); OK
JH605023:611512-614910 ; JH6050:611512-614910(+); OK
JH605024:c(606623-610015) ; ND ; ND
JH605023:c(651016-654369) ; JH6050:651016-654369(-); OK
JH605023:c(191580-194924) ; JH6050:191580-194924(-); OK
JH605026:c(269872-273216) ; JH6050:269872-273216(-); OK
JH605026:c(8767-12078) ; JH6050:8767-12078(-); OK
JH605027:c(351302-354592) ; ND ; ND
JH605028:c(16639-19908) ; JH6050:16639-19908(-); OK
JH605027:c(90444-93701) ; JH6050:90444-93701(-); OK
JH605028:c(67607-70861) ; JH6050:67607-70861(-); OK
JH605025:58100-61339 ; JH6050:58100-61339(+); OK
JH605030:140170-143403 ; JH6050:140656-143403(+); error - start (140170/140656)
JH605024:44904-48119 ; JH6050:44904-48119(+); OK
JH605025:c(92195-95410) ; ND ; ND
JH605023:683344-686553 ; ND ; ND
JH605027:370004-373207 ; ND ; ND
JH605025:c(306946-310128) ; JH6050:306946-310068(-); error - start (310128/310068)
JH605024:623777-626920 ; ND ; ND
JH605026:5116-8253 ; JH6050:5173-8253(+); error - start (5116/5173)
JH605023:891891-895025 ; JH6050:891891-895025(+); OK
JH605023:125250-128375 ; JH6050:125250-128375(+); OK
JH605023:c(352599-355703) ; JH6050:352599-355577(-); error - start (355703/355577)
JH605027:c(110084-113182) ; JH6050:110084-113182(-); OK
JH605023:c(436332-439427) ; JH6050:436332-439427(-); OK
JH605029:125929-129021 ; ND ; ND
JH605023:c(690561-693644) ; ND ; ND
JH605026:c(152363-155446) ; JH6050:152363-155446(-); OK
JH605025:c(310490-313570) ; ND ; ND
JH605023:259276-262353 ; JH6050:259276-262353(+); OK
JH605028:c(230677-233751) ; JH6050:230677-233751(-); OK
JH605026:90131-93196 ; JH6050:90131-93196(+); OK
