PROTEOME ; PRODIGAL ; ERROR PRODIGAL
ABGB01000004:65981-72691 ; NW_001849444:8878-15588(-); error (65981/8878)(72691/15588)
ABGB01000016:c(25795-31158) ; NW_003102064:25795-31209(-); error - start (31158/31209)
ABGB01000025:25811-30820 ; NW_003102073:25811-30820(+); OK
ABGB01000005:4224-8849 ; NW_001849445:4224-8849(+); OK
ABGB01000001:c(103286-107893) ; NW_001849444:96204-100811(+); error (103286/96204)(107893/100811)
ABGB01000039:7446-11795 ; NW_003102087:7452-11795(+); error - start (7446/7452)
ABGB01000001:c(32725-36915) ; NW_001849444:167182-171372(+); error (32725/167182)(36915/171372)
ABGB01000020:c(14768-18835) ; NW_003102068:14768-18835(-); OK
ABGB01000040:c(7154-11149) ; NW_003102088:7154-11149(-); OK
ABGB01000021:c(13325-17305) ; NW_003102069:13325-17305(-); OK
ABGB01000016:c(17062-20874) ; NW_003102064:17062-20874(-); OK
ABGB01000003:30494-34249 ; NW_001849445:73920-77675(+); error (30494/73920)(34249/77675)
ABGB01000018:5969-9511 ; NW_003102066:5969-9511(+); OK
ABGB01000025:5214-8744 ; NW_003102073:5214-8744(+); OK
ABGB01000005:c(25196-28720) ; NW_001849445:25196-28720(-); OK
ABGB01000022:c(12231-15710) ; NW_003102070:12231-15710(-); OK
ABGB01000017:c(80821-84252) ; NW_003102065:80821-84225(-); error - start (84252/84225)
ABGB01000001:c(93287-96715) ; NW_001849444:107382-110810(+); error (93287/107382)(96715/110810)
ABGB01000003:c(50308-53724) ; NW_001849445:93734-97150(-); error (50308/93734)(53724/97150)
ABGB01000015:c(78700-82026) ; NW_003102063:78700-82026(-); OK
ABGB01000016:c(104797-108120) ; NW_003102064:104797-108120(-); OK
ABGB01000036:c(10165-13452) ; NW_003102084:10165-13452(-); OK
ABGB01000018:17523-20771 ; NW_003102066:17523-20771(+); OK
ABGB01000015:47217-50420 ; NW_003102063:47217-50420(+); OK
ABGB01000005:c(19029-22229) ; NW_001849445:19029-22229(-); OK
ABGB01000018:c(586-3774) ; NW_003102066:586-3774(-); OK
ABGB01000033:c(17918-21076) ; NW_003102081:17918-21076(-); OK
ABGB01000017:6580-9714 ; NW_003102065:6580-9714(+); OK
ABGB01000014:c(71053-74139) ; NW_003102062:71053-74139(-); OK
ABGB01000014:75013-78066 ; NW_003102062:75013-78066(+); OK
ABGB01000016:87852-90857 ; NW_003102064:87852-90857(+); OK
ABGB01000015:10118-13114 ; NW_003102063:10118-13114(+); OK
ABGB01000037:1514-4489 ; NW_003102085:1514-4489(+); OK
ABGB01000002:c(67132-70041) ; NW_001849446:85036-87945(-); error (67132/85036)(70041/87945)
ABGB01000001:c(38913-41819) ; NW_001849444:162278-165184(+); error (38913/162278)(41819/165184)
ABGB01000006:1831-4716 ; NW_001849446:7873-10758(+); error (1831/7873)(4716/10758)
ABGB01000023:c(25656-28541) ; NW_003102071:25656-28541(-); OK
ABGB01000039:12748-15609 ; NW_003102087:12748-15609(+); OK
ABGB01000020:21241-24099 ; NW_003102068:21241-24099(+); OK
ABGB01000018:51087-53930 ; NW_003102066:51087-53930(+); OK
ABGB01000037:c(5116-7953) ; NW_003102085:5116-7953(-); OK
ABGB01000002:c(56021-58843) ; NW_001849446:73925-76747(-); error (56021/73925)(58843/76747)
ABGB01000014:89463-92270 ; NW_003102062:89463-92270(+); OK
ABGB01000028:c(6407-9184) ; NW_003102076:6407-9211(-); error - start (9184/9211)
ABGB01000014:c(44337-47105) ; NW_003102062:44337-47105(-); OK
ABGB01000014:c(113633-116398) ; NW_003102062:113633-116398(-); OK
ABGB01000015:44431-47184 ; NW_003102063:44431-47184(+); OK
ABGB01000014:78150-80897 ; NW_003102062:78150-80897(+); OK
ABGB01000004:c(53498-56236) ; NW_001849444:25312-28071(+); error (53498/25312)(56236/28071)
ABGB01000025:c(2339-5026) ; NW_003102073:2339-5026(-); OK
ABGB01000016:68868-71552 ; NW_003102064:68868-71552(+); OK
ABGB01000015:83284-85941 ; NW_003102063:83284-85941(+); OK
ABGB01000001:96836-99463 ; NW_001849444:104634-107261(-); error (96836/104634)(99463/107261)
ABGB01000016:81443-84067 ; NW_003102064:81443-84067(+); OK
ABGB01000015:59131-61749 ; NW_003102063:59131-61749(+); OK
ABGB01000003:c(3019-5622) ; NW_001849445:46445-49048(-); error (3019/46445)(5622/49048)
ABGB01000003:c(60909-63491) ; NW_001849445:104335-106917(-); error (60909/104335)(63491/106917)
ABGB01000015:64027-66609 ; NW_003102063:63973-66609(+); error - start (64027/63973)
ABGB01000017:69324-71906 ; NW_003102065:69324-71906(+); OK
ABGB01000003:c(26846-29407) ; NW_001849445:70272-72833(-); error (26846/70272)(29407/72833)
ABGB01000003:c(26846-29407) ; NW_003102460:114-899(+); error (26846/114)(29407/899)
ABGB01000002:c(95062-97620) ; NW_001849446:112966-115524(-); error (95062/112966)(97620/115524)
ABGB01000014:66979-69531 ; NW_003102062:67018-69531(+); error - start (66979/67018)
ABGB01000036:13612-16131 ; NW_003102084:13612-16131(+); OK
ABGB01000002:c(52620-55127) ; NW_001849446:70524-73031(-); error (52620/70524)(55127/73031)
ABGB01000003:441-2945 ; NW_001849445:43867-46371(+); error (441/43867)(2945/46371)
ABGB01000005:13918-16419 ; NW_001849445:13918-16419(+); OK
ABGB01000004:63474-65945 ; NW_001849444:15624-18044(-); error (63474/15624)(65945/18044)
ABGB01000020:41478-43949 ; NW_003102068:41478-43949(+); OK
ABGB01000031:21433-23889 ; NW_003102079:21433-23889(+); OK
ABGB01000018:9571-12024 ; NW_003102066:9571-12024(+); OK
ABGB01000001:c(9189-11594) ; NW_001849444:192503-194908(+); error (9189/192503)(11594/194908)
ABGB01000016:51768-54173 ; NW_003102064:51768-54173(+); OK
ABGB01000017:c(21740-24121) ; NW_003102065:21740-24121(-); OK
ABGB01000021:c(27619-30000) ; NW_003102069:27619-29964(-); error - start (30000/29964)
ABGB01000017:25903-28275 ; NW_003102065:25903-28275(+); OK
ABGB01000004:41441-43810 ; NW_001849444:37759-40128(-); error (41441/37759)(43810/40128)
ABGB01000014:c(58118-60484) ; NW_003102062:58118-60484(-); OK
ABGB01000017:29844-32204 ; NW_003102065:29844-32204(+); OK
ABGB01000025:23444-25786 ; NW_003102073:23444-25786(+); OK
ABGB01000035:4454-6793 ; NW_003102083:4454-6793(+); OK
ABGB01000014:81045-83381 ; NW_003102062:81045-83381(+); OK
ABGB01000016:c(60924-63233) ; NW_003102064:60924-63227(-); error - start (63233/63227)
ABGB01000017:75527-77827 ; NW_003102065:75527-77827(+); OK
ABGB01000030:c(503-2767) ; NW_003102078:503-2767(-); OK
ABGB01000021:c(33785-36034) ; NW_003102069:33785-36034(-); OK
ABGB01000035:c(16491-18740) ; NW_003102083:16491-18740(-); OK
ABGB01000017:11774-14020 ; NW_003102065:11774-14020(+); OK
ABGB01000051:c(1886-4120) ; NW_003102099:1886-4120(-); OK
ABGB01000031:11038-13224 ; NW_003102079:11038-13224(+); OK
ABGB01000030:9423-11606 ; NW_003102078:9423-11606(+); OK
ABGB01000001:90313-92481 ; NW_001849444:111616-113784(-); error (90313/111616)(92481/113784)
ABGB01000027:20600-22768 ; NW_003102075:20600-22768(+); OK
ABGB01000004:51332-53488 ; NW_001849444:28081-30237(-); error (51332/28081)(53488/30237)
ABGB01000028:c(16065-18221) ; NW_003102076:16065-18221(-); OK
ABGB01000003:c(40893-43046) ; NW_001849445:84319-86472(-); error (40893/84319)(43046/86472)
ABGB01000005:c(36093-38237) ; NW_001849445:36093-38237(-); OK
ABGB01000015:c(99129-101270) ; NW_003102063:99129-101270(-); OK
ABGB01000018:c(34958-37099) ; NW_003102066:34958-37099(-); OK
ABGB01000014:118589-120721 ; NW_003102062:118589-120721(+); OK
ABGB01000017:c(62205-64337) ; NW_003103182:852-1097(-); error (62205/852)(64337/1097)
ABGB01000017:c(62205-64337) ; NW_003102065:62205-64337(-); OK
ABGB01000018:c(22274-24403) ; NW_003102066:22274-24403(-); OK
ABGB01000014:c(15869-17980) ; NW_003102062:15869-17980(-); OK
ABGB01000004:c(24828-26933) ; NW_001849444:54636-56741(+); error (24828/54636)(26933/56741)
ABGB01000026:2490-4592 ; NW_003102074:2490-4592(+); OK
ABGB01000022:5331-7430 ; NW_003102070:5331-7430(+); OK
ABGB01000026:c(24590-26689) ; NW_003102074:24590-26704(-); error - start (26689/26704)
ABGB01000018:62189-64282 ; NW_003102066:62189-64282(+); OK
ABGB01000005:c(39388-41466) ; NW_001849445:39388-41466(-); OK
ABGB01000032:13094-15172 ; NW_003102080:13094-15172(+); OK
ABGB01000003:c(44565-46640) ; NW_001849445:87991-90066(-); error (44565/87991)(46640/90066)
ABGB01000004:16952-19024 ; NW_001849444:62545-64617(-); error (16952/62545)(19024/64617)
ABGB01000019:28996-31068 ; NW_003102067:28996-31068(+); OK
ABGB01000004:c(29972-32041) ; NW_001849444:49492-51597(+); error (29972/49492)(32041/51597)
ABGB01000014:93128-95197 ; NW_003102062:93128-95197(+); OK
ABGB01000014:c(95900-97969) ; NW_003102062:95900-97969(-); OK
ABGB01000021:c(10471-12525) ; NW_003102069:10471-12525(-); OK
ABGB01000052:c(4428-6482) ; NW_003102100:4428-6482(-); OK
ABGB01000003:35144-37189 ; NW_001849445:78570-80615(+); error (35144/78570)(37189/80615)
ABGB01000004:26961-29003 ; NW_001849444:52566-54608(-); error (26961/52566)(29003/54608)
ABGB01000023:10973-13009 ; NW_003102071:10973-13009(+); OK
ABGB01000038:11713-13746 ; NW_003102086:11737-13746(+); error - start (11713/11737)
ABGB01000015:c(33634-35664) ; NW_003102063:33634-35664(-); OK
ABGB01000016:98579-100606 ; NW_003102064:98579-100606(+); OK
ABGB01000019:c(39718-41745) ; NW_003102067:39718-41745(-); OK
ABGB01000002:5436-7451 ; NW_001849446:23340-25355(+); error (5436/23340)(7451/25355)
ABGB01000002:c(7494-9506) ; NW_001849446:25398-27473(-); error (7494/25398)(9506/27473)
ABGB01000001:3647-5641 ; NW_001849444:198456-200450(-); error (3647/198456)(5641/200450)
ABGB01000016:c(91707-93695) ; NW_003102064:91707-93686(-); error - start (93695/93686)
ABGB01000014:42347-44320 ; NW_003102062:42347-44320(+); OK
ABGB01000028:c(18262-20235) ; NW_003102076:18262-20235(-); OK
ABGB01000017:c(15776-17740) ; NW_003102065:15776-17740(-); OK
ABGB01000022:29412-31352 ; NW_003102070:29412-31352(+); OK
ABGB01000019:c(36893-38830) ; NW_003102067:36893-38830(-); OK
ABGB01000015:36761-38695 ; NW_003102063:36761-38695(+); OK
ABGB01000037:9978-11909 ; NW_003102085:9924-11909(+); error - start (9978/9924)
ABGB01000053:c(2603-4531) ; NW_003102101:2603-4549(-); error - start (4531/4549)
ABGB01000002:c(23756-25678) ; NW_001849446:41660-43582(-); error (23756/41660)(25678/43582)
ABGB01000027:15588-17501 ; NW_003102075:15588-17501(+); OK
ABGB01000020:c(24109-26016) ; NW_003102068:24109-26016(-); OK
ABGB01000017:77879-79783 ; NW_003102065:77879-79783(+); OK
ABGB01000001:30800-32701 ; NW_001849444:171396-173297(-); error (30800/171396)(32701/173297)
ABGB01000003:c(66245-68140) ; NW_001849445:109671-111614(-); error (66245/109671)(68140/111614)
ABGB01000031:c(14204-16096) ; NW_003102079:14204-16096(-); OK
ABGB01000015:13192-15081 ; NW_003102063:13198-15081(+); error - start (13192/13198)
ABGB01000001:c(1628-3514) ; NW_001849444:200583-202469(+); error (1628/200583)(3514/202469)
ABGB01000036:17878-19758 ; NW_003102084:17878-19758(+); OK
ABGB01000002:40151-42028 ; NW_001849446:58055-59932(+); error (40151/58055)(42028/59932)
ABGB01000003:c(63837-65711) ; NW_001849445:107263-109137(-); error (63837/107263)(65711/109137)
ABGB01000001:19395-21257 ; NW_001849444:182840-184702(-); error (19395/182840)(21257/184702)
ABGB01000016:c(66905-68764) ; NW_003102064:66905-68764(-); OK
ABGB01000002:28023-29876 ; NW_001849446:45927-47780(+); error (28023/45927)(29876/47780)
ABGB01000015:108184-110031 ; NW_003102063:108184-110031(+); OK
ABGB01000030:c(23535-25373) ; NW_003102078:23535-25373(-); OK
ABGB01000015:26014-27846 ; NW_003102063:26014-27846(+); OK
ABGB01000004:3831-5660 ; NW_001849444:75909-77738(-); error (3831/75909)(5660/77738)
ABGB01000015:30435-32255 ; NW_003102063:30435-32255(+); OK
ABGB01000028:c(22338-24149) ; NW_003102076:22338-24149(-); OK
ABGB01000022:33009-34817 ; NW_003102070:33009-34817(+); OK
ABGB01000039:4693-6495 ; NW_003102087:4693-6495(+); OK
ABGB01000001:c(80606-82402) ; NW_001849444:121695-123491(+); error (80606/121695)(82402/123491)
ABGB01000001:c(107955-109751) ; NW_001849444:94346-96142(+); error (107955/94346)(109751/96142)
ABGB01000015:89991-91778 ; NW_003102063:89991-91778(+); OK
ABGB01000030:4689-6476 ; NW_003102078:4689-6476(+); OK
ABGB01000019:c(22437-24215) ; NW_003102067:22437-24215(-); OK
ABGB01000017:c(40087-41862) ; NW_003102065:40087-41862(-); OK
ABGB01000016:c(8696-10468) ; NW_003102064:8696-10468(-); OK
ABGB01000002:42282-44051 ; NW_001849446:60186-61955(+); error (42282/60186)(44051/61955)
ABGB01000034:c(2133-3890) ; NW_003102082:2133-3863(-); error - start (3890/3863)
ABGB01000035:10452-12200 ; NW_003102083:10452-12200(+); OK
ABGB01000001:52944-54683 ; NW_001849444:149414-151153(-); error (52944/149414)(54683/151153)
ABGB01000004:c(38405-40144) ; NW_001849444:41425-43164(+); error (38405/41425)(40144/43164)
ABGB01000015:c(16599-18338) ; NW_003102063:16599-18338(-); OK
ABGB01000018:c(73734-75470) ; NW_003102066:73734-75470(-); OK
ABGB01000033:16037-17773 ; NW_003102081:16037-17773(+); OK
ABGB01000039:c(2867-4603) ; NW_003102087:2867-4603(-); OK
ABGB01000018:71947-73674 ; NW_003102066:71947-73674(+); OK
ABGB01000002:c(2034-3758) ; NW_001849446:19938-21662(-); error (2034/19938)(3758/21662)
ABGB01000028:c(12595-14319) ; NW_003102076:12595-14223(-); error - start (14319/14223)
ABGB01000017:c(9739-11460) ; NW_003102065:9739-11598(-); error - start (11460/11598)
ABGB01000028:c(10702-12420) ; NW_003102076:10702-12420(-); OK
ABGB01000001:45144-46859 ; NW_001849444:157238-158953(-); error (45144/157238)(46859/158953)
