PROTEOME ; FUNANNOTATE ; ERROR FUNANNOTATE
ABGB01000004:65981-72691 ; NW_001849444:8878-15588(-); error (65981/8878)(72691/15588)
ABGB01000016:c(25795-31158) ; NW_003102064:25795-31158(-); OK
ABGB01000025:25811-30820 ; NW_003102073:25811-30820(+); OK
ABGB01000005:4224-8849 ; NW_001849445:4224-8849(+); OK
ABGB01000001:c(103286-107893) ; NW_001849444:96204-100811(+); error (103286/96204)(107893/100811)
ABGB01000039:7446-11795 ; NW_003102087:7446-11795(+); OK
ABGB01000001:c(32725-36915) ; ND ; ND
ABGB01000020:c(14768-18835) ; NW_003102068:14768-18835(-); OK
ABGB01000040:c(7154-11149) ; NW_003102088:7154-11149(-); OK
ABGB01000021:c(13325-17305) ; NW_003102069:13325-17305(-); OK
ABGB01000016:c(17062-20874) ; NW_003102064:17062-20874(-); OK
ABGB01000003:30494-34249 ; NW_001849445:73920-77675(+); error (30494/73920)(34249/77675)
ABGB01000018:5969-9511 ; NW_003102066:5969-9511(+); OK
ABGB01000025:5214-8744 ; NW_003102073:5214-8744(+); OK
ABGB01000005:c(25196-28720) ; NW_001849445:25196-28720(-); OK
ABGB01000022:c(12231-15710) ; NW_003102070:12231-15710(-); OK
ABGB01000017:c(80821-84252) ; NW_003102065:80821-84252(-); OK
ABGB01000001:c(93287-96715) ; NW_001849444:107382-110810(+); error (93287/107382)(96715/110810)
ABGB01000003:c(50308-53724) ; NW_001849445:93734-97150(-); error (50308/93734)(53724/97150)
ABGB01000015:c(78700-82026) ; NW_003102063:78700-82026(-); OK
ABGB01000016:c(104797-108120) ; NW_003102064:104797-107928(-); error - start (108120/107928)
ABGB01000036:c(10165-13452) ; NW_003102084:10165-13452(-); OK
ABGB01000018:17523-20771 ; NW_003102066:17523-20771(+); OK
ABGB01000015:47217-50420 ; NW_003102063:47217-50420(+); OK
ABGB01000005:c(19029-22229) ; NW_001849445:19029-22229(-); OK
ABGB01000018:c(586-3774) ; NW_003102066:586-3774(-); OK
ABGB01000033:c(17918-21076) ; NW_003102081:17918-20986(-); error - start (21076/20986)
ABGB01000017:6580-9714 ; NW_003102065:6814-9714(+); error - start (6580/6814)
ABGB01000014:c(71053-74139) ; NW_003102062:71053-74139(-); OK
ABGB01000014:75013-78066 ; NW_003102062:75013-78066(+); OK
ABGB01000016:87852-90857 ; NW_003102064:87852-90857(+); OK
ABGB01000015:10118-13114 ; NW_003102063:10739-13114(+); error - start (10118/10739)
ABGB01000037:1514-4489 ; ND ; ND
ABGB01000002:c(67132-70041) ; NW_001849446:85036-87945(-); error (67132/85036)(70041/87945)
ABGB01000001:c(38913-41819) ; NW_001849444:162278-165184(+); error (38913/162278)(41819/165184)
ABGB01000006:1831-4716 ; NW_001849446:7873-10758(+); error (1831/7873)(4716/10758)
ABGB01000023:c(25656-28541) ; NW_003102071:25656-28541(-); OK
ABGB01000039:12748-15609 ; NW_003102087:12748-15609(+); OK
ABGB01000020:21241-24099 ; NW_003102068:21241-24099(+); OK
ABGB01000018:51087-53930 ; NW_003102066:51186-53930(+); error - start (51087/51186)
ABGB01000037:c(5116-7953) ; NW_003102085:5116-7617(-); error - start (7953/7617)
ABGB01000002:c(56021-58843) ; NW_001849446:73925-76609(-); error (56021/73925)(58843/76609)
ABGB01000014:89463-92270 ; NW_003102062:89463-92270(+); OK
ABGB01000028:c(6407-9184) ; NW_003102076:6407-9184(-); OK
ABGB01000014:c(44337-47105) ; NW_003102062:44337-47105(-); OK
ABGB01000014:c(113633-116398) ; ND ; ND
ABGB01000015:44431-47184 ; NW_003102063:44431-47184(+); OK
ABGB01000014:78150-80897 ; NW_003102062:78150-80897(+); OK
ABGB01000004:c(53498-56236) ; NW_001849444:25333-28071(+); error (53498/25333)(56236/28071)
ABGB01000025:c(2339-5026) ; NW_003102073:2339-5026(-); OK
ABGB01000016:68868-71552 ; NW_003102064:68868-71552(+); OK
ABGB01000015:83284-85941 ; NW_003102063:83284-85941(+); OK
ABGB01000001:96836-99463 ; NW_001849444:104634-107261(-); error (96836/104634)(99463/107261)
ABGB01000016:81443-84067 ; NW_003102064:81443-84067(+); OK
ABGB01000015:59131-61749 ; NW_003102063:59131-61749(+); OK
ABGB01000003:c(3019-5622) ; NW_001849445:46445-48739(-); error (3019/46445)(5622/48739)
ABGB01000003:c(60909-63491) ; NW_001849445:104335-106917(-); error (60909/104335)(63491/106917)
ABGB01000015:64027-66609 ; NW_003102063:64273-66609(+); error - start (64027/64273)
ABGB01000017:69324-71906 ; NW_003102065:69324-71906(+); OK
ABGB01000003:c(26846-29407) ; NW_001849445:70272-72833(-); error (26846/70272)(29407/72833)
ABGB01000003:c(26846-29407) ; NW_003102460:114-899(+); error (26846/114)(29407/899)
ABGB01000002:c(95062-97620) ; NW_001849446:112966-115524(-); error (95062/112966)(97620/115524)
ABGB01000014:66979-69531 ; NW_003102062:66979-69531(+); OK
ABGB01000036:13612-16131 ; NW_003102084:13612-16131(+); OK
ABGB01000002:c(52620-55127) ; NW_001849446:70524-73031(-); error (52620/70524)(55127/73031)
ABGB01000003:441-2945 ; NW_001849445:43867-46371(+); error (441/43867)(2945/46371)
ABGB01000005:13918-16419 ; NW_001849445:13918-16419(+); OK
ABGB01000004:63474-65945 ; NW_001849444:15624-18044(-); error (63474/15624)(65945/18044)
ABGB01000020:41478-43949 ; NW_003102068:41478-43949(+); OK
ABGB01000031:21433-23889 ; NW_003102079:21433-23889(+); OK
ABGB01000018:9571-12024 ; NW_003102066:9571-12024(+); OK
ABGB01000001:c(9189-11594) ; NW_001849444:192503-194908(+); error (9189/192503)(11594/194908)
ABGB01000016:51768-54173 ; NW_003102064:51783-54173(+); error - start (51768/51783)
ABGB01000017:c(21740-24121) ; ND ; ND
ABGB01000021:c(27619-30000) ; NW_003102069:27619-29964(-); error - start (30000/29964)
ABGB01000017:25903-28275 ; NW_003102065:26893-28275(+); error - start (25903/26893)
ABGB01000004:41441-43810 ; NW_001849444:37759-40128(-); error (41441/37759)(43810/40128)
ABGB01000014:c(58118-60484) ; NW_003102062:58118-58681(-); error - start (60484/58681)
ABGB01000017:29844-32204 ; NW_003102065:29844-32204(+); OK
ABGB01000025:23444-25786 ; NW_003102073:23444-25786(+); OK
ABGB01000035:4454-6793 ; NW_003102083:4550-6793(+); error - start (4454/4550)
ABGB01000014:81045-83381 ; NW_003102062:81045-83381(+); OK
ABGB01000016:c(60924-63233) ; NW_003102064:60924-63233(-); OK
ABGB01000017:75527-77827 ; NW_003102065:75527-77827(+); OK
ABGB01000030:c(503-2767) ; NW_003102078:503-2419(-); error - start (2767/2419)
ABGB01000021:c(33785-36034) ; NW_003102069:33785-36034(-); OK
ABGB01000035:c(16491-18740) ; NW_003102083:16491-18740(-); OK
ABGB01000017:11774-14020 ; NW_003102065:11774-14020(+); OK
ABGB01000051:c(1886-4120) ; NW_003102099:1886-4120(-); OK
ABGB01000031:11038-13224 ; NW_003102079:11119-13224(+); error - start (11038/11119)
ABGB01000030:9423-11606 ; NW_003102078:9423-11606(+); OK
ABGB01000001:90313-92481 ; NW_001849444:111616-113784(-); error (90313/111616)(92481/113784)
ABGB01000027:20600-22768 ; NW_003102075:20600-22768(+); OK
ABGB01000004:51332-53488 ; NW_001849444:28081-30237(-); error (51332/28081)(53488/30237)
ABGB01000028:c(16065-18221) ; NW_003102076:16065-18221(-); OK
ABGB01000003:c(40893-43046) ; NW_001849445:84319-86472(-); error (40893/84319)(43046/86472)
