PROTEOME ; AUGUSTUS ; ERROR AUGUSTUS
AL590445:72178-82488 ; AL590445:72154-82488(+); error - start (72178/72154)
AL590449:c(78933-88388) ; AL590449:78933-88388(-); OK
AL590448:204619-213117 ; AL590448:204619-213117(+); OK
AL590449:188662-195894 ; AL590449:188662-195894(+); OK
AL590444:81307-88422 ; AL590444:81307-88422(+); OK
AL590444:c(94657-100650) ; AL590444:94657-100554(-); error - start (100650/100554)
AL590442:130217-135634 ; AL590442:130217-135634(+); OK
AL590449:163070-168457 ; AL590449:163058-168457(+); error - start (163070/163058)
AL590444:128867-133906 ; AL590444:128867-133906(+); OK
AL590443:c(33938-38737) ; AL590443:34442-38737(-); error - end (33938/34442)
AL590447:164834-169522 ; AL590447:164834-169522(+); OK
AL590446:123319-127755 ; AL590446:123310-127755(+); error - start (123319/123310)
AL590450:c(172085-176470) ; AL590450:172085-176470(-); OK
AL590450:c(61074-65312) ; AL590450:61074-65312(-); OK
AL590444:c(176560-180747) ; AL590444:176560-180747(-); OK
AL590445:c(122055-126068) ; AL590445:122055-126068(-); OK
AL590447:17131-21102 ; AL590447:17131-21102(+); OK
AL590447:10241-14191 ; AL590447:10241-14191(+); OK
AL590443:c(179583-183353) ; AL590443:179583-183353(-); OK
AL590450:c(183117-186887) ; AL590450:183117-186770(-); error - start (186887/186770)
AL391737:c(46982-50737) ; AL391737:46982-50737(-); OK
AL590447:c(78931-82674) ; AL590447:78931-82674(-); OK
AL590443:61776-65507 ; AL590443:61776-65507(+); OK
AL391737:112760-116485 ; AL391737:112760-116485(+); OK
AL590444:121108-124596 ; AL590444:121108-124596(+); OK
AL590450:c(83037-86507) ; AL590450:83037-86507(-); OK
AL590444:42002-45436 ; AL590444:42002-45436(+); OK
AL590447:c(173167-176592) ; AL590447:173167-176607(-); error - start (176592/176607)
AL590449:26605-30030 ; AL590449:26605-30030(+); OK
AL590451:c(10041-13454) ; AL590451:10041-13454(-); OK
AL590450:c(49867-53199) ; AL590450:49867-53199(-); OK
AL590447:87227-90544 ; AL590447:87206-90544(+); error - start (87227/87206)
AL590451:222916-226227 ; AL590451:222916-226227(+); OK
AL590451:c(161728-165012) ; AL590451:161728-165000(-); error - start (165012/165000)
AL590451:c(239362-242610) ; AL590451:239362-242610(-); OK
AL590445:142111-145302 ; AL590445:142111-145302(+); OK
AL590449:149742-152933 ; AL590449:149742-152933(+); OK
AL590449:c(57458-60637) ; AL590449:57458-60637(-); OK
AL590447:104955-108131 ; AL590447:104955-108131(+); OK
AL590443:54192-57344 ; AL590443:54192-57344(+); OK
AL590449:c(156082-159204) ; AL590449:156082-159204(-); OK
AL590449:c(238382-241465) ; AL590449:238382-241465(-); OK
AL590450:250754-253831 ; AL590450:250754-253831(+); OK
AL590450:29938-33012 ; AL590450:29938-33012(+); OK
AL391737:150946-154002 ; AL391737:150946-154002(+); OK
AL590451:232684-235737 ; AL590451:232684-235737(+); OK
AL590450:137082-140135 ; AL590450:137082-140135(+); OK
AL391737:135500-138508 ; AL391737:135500-138508(+); OK
AL590450:237920-240916 ; AL590450:237920-240916(+); OK
AL590443:111086-114061 ; AL590443:111086-114061(+); OK
AL590446:127818-130790 ; AL590446:127818-130790(+); OK
AL391737:155958-158909 ; AL391737:155958-158909(+); OK
AL590447:c(51325-54267) ; AL590447:51325-54267(-); OK
AL590451:57073-59997 ; AL590451:57073-59997(+); OK
AL590442:c(38436-41357) ; AL590442:38436-41285(-); error - start (41357/41285)
AL590445:c(151000-153909) ; AL590445:151000-153897(-); error - start (153909/153897)
AL590445:170678-173563 ; AL590445:170678-173563(+); OK
AL590448:29718-32579 ; AL590448:29718-31658(+); error - end (32579/31658)
AL590448:29718-32579 ; AL590448:32220-32579(+); error - start (29718/32220)
AL590447:c(186813-189668) ; AL590447:186813-189668(-); OK
AL590445:129413-132241 ; AL590445:129371-132241(+); error - start (129413/129371)
AL590449:c(74232-77051) ; AL590449:74232-77051(-); OK
AL590451:213085-215889 ; AL590451:213085-215889(+); OK
AL590443:75113-77914 ; AL590443:75113-77914(+); OK
AL590444:c(116744-119545) ; AL590444:116744-119545(-); OK
AL590447:197598-200396 ; AL590447:197640-200396(+); error - start (197598/197640)
AL590448:133963-136755 ; AL590448:133963-136755(+); OK
AL590446:62798-65587 ; AL590446:62798-65587(+); OK
AL590442:147968-150736 ; AL590442:147968-150736(+); OK
AL590449:c(96974-99742) ; AL590449:96974-99742(-); OK
AL590444:147759-150524 ; AL590444:147759-150524(+); OK
AL590443:c(86105-88825) ; AL590443:86105-88825(-); OK
AL590443:95770-99126 ; ND ; ND
AL590445:11903-14620 ; AL590445:11903-14620(+); OK
AL590450:119009-121720 ; AL590450:119009-121720(+); OK
AL590447:177976-180681 ; AL590447:179311-180681(+); error - start (177976/179311)
AL590447:c(59695-62391) ; AL590447:59695-62382(-); error - start (62391/62382)
AL590447:c(201083-203767) ; AL590447:201083-203767(-); OK
AL590447:29377-32058 ; AL590447:29641-32058(+); error - start (29377/29641)
AL590451:228552-231203 ; AL590451:228552-231203(+); OK
AL590449:c(103880-106531) ; AL590449:103880-106531(-); OK
AL590449:153061-155712 ; AL590449:153067-155712(+); error - start (153061/153067)
AL590446:c(97193-99841) ; AL590446:97193-99841(-); OK
AL590450:c(23728-26358) ; AL590450:23728-26358(-); OK
AL590446:c(37873-40497) ; AL590446:37873-40497(-); OK
AL590449:c(173340-175964) ; AL590449:173340-176000(-); error - start (175964/176000)
AL590444:c(165802-168411) ; AL590444:165802-168411(-); OK
AL590451:193614-196220 ; AL590451:193698-196220(+); error - start (193614/193698)
AL590446:83416-86019 ; AL590446:83416-86019(+); OK
AL391737:c(160706-163303) ; AL391737:160706-163303(-); OK
AL391737:c(29861-32455) ; AL391737:29861-32419(-); error - start (32455/32419)
AL391737:c(29861-32455) ; AL391737:177564-180122(+); error (29861/177564)(32455/180122)
AL590442:c(179488-182082) ; AL590442:179488-182082(-); OK
AL590446:148176-150767 ; AL590446:148176-150767(+); OK
AL590443:c(50234-52810) ; AL590443:50234-52804(-); error - start (52810/52804)
AL590443:156436-159012 ; AL590443:156436-159012(+); OK
AL590450:c(179283-181838) ; AL590450:179283-181838(-); OK
AL590450:188105-190657 ; AL590450:188105-190657(+); OK
AL590450:c(148852-151401) ; AL590450:148852-151401(-); OK
AL590451:c(21724-24240) ; AL590451:21724-24240(-); OK
AL590442:125760-128267 ; AL590442:125760-128267(+); OK
AL590443:c(89486-91993) ; AL590443:89486-91993(-); OK
AL590449:170790-173276 ; AL590449:170790-173276(+); OK
AL590449:c(31324-33801) ; AL590449:31324-33801(-); OK
AL590449:c(180424-182895) ; AL590449:180424-182895(-); OK
AL590445:c(9355-11811) ; AL590445:9355-11811(-); OK
AL590448:124569-127025 ; AL590448:124599-127025(+); error - start (124569/124599)
AL391737:c(169565-172015) ; AL391737:169565-171865(-); error - start (172015/171865)
AL590451:42332-44779 ; AL590451:42332-44779(+); OK
AL590446:c(30276-32720) ; AL590446:30276-32720(-); OK
AL590446:c(110414-112846) ; AL590446:110414-112867(-); error - start (112846/112867)
AL590443:c(70587-73013) ; AL590443:70587-73013(-); OK
AL590444:156082-158496 ; AL590444:156067-158496(+); error - start (156082/156067)
AL590448:83027-85423 ; AL590448:83027-85423(+); OK
AL590449:91176-93569 ; AL590449:91176-93569(+); OK
AL590444:c(36525-38912) ; AL590444:36525-38912(-); OK
AL590442:55897-58257 ; AL590442:55897-58257(+); OK
AL590448:97217-99577 ; AL590448:97217-99577(+); OK
AL590448:201217-203574 ; AL590448:201187-203574(+); error - start (201217/201187)
AL590451:c(19284-21638) ; AL590451:19284-21638(-); OK
AL590445:c(32384-34729) ; AL590445:32384-34729(-); OK
AL391737:c(146522-148864) ; AL391737:146522-148864(-); OK
AL590444:c(107963-110305) ; AL590444:107963-110305(-); OK
AL590446:c(24049-26391) ; AL590446:24049-26391(-); OK
AL590442:c(70475-72811) ; AL590442:70475-72811(-); OK
AL590446:101349-103685 ; AL590446:101349-103685(+); OK
AL590444:49826-52159 ; AL590444:49826-52159(+); OK
AL590446:c(55528-57861) ; AL590446:55528-57861(-); OK
AL590447:45755-48085 ; AL590447:45755-48085(+); OK
AL590447:c(206081-208411) ; AL590447:206081-208411(-); OK
AL590449:224045-226375 ; AL590449:224027-226375(+); error - start (224045/224027)
AL590449:125540-127846 ; AL590449:125540-127846(+); OK
AL590447:136340-138640 ; AL590447:136340-138640(+); OK
AL590443:29782-32070 ; AL590443:29782-32070(+); OK
AL590444:61781-64021 ; AL590444:61781-64021(+); OK
AL590446:27327-29555 ; AL590446:27327-29555(+); OK
AL590447:108966-111194 ; AL590447:108966-111194(+); OK
AL590446:87437-89653 ; AL590446:87437-89653(+); OK
AL590445:c(65560-67767) ; AL590445:65560-67767(-); OK
AL590446:48950-51157 ; AL590446:48950-51157(+); OK
AL590442:c(79928-82129) ; AL590442:79928-82129(-); OK
AL590448:c(88720-90921) ; AL590448:88720-90921(-); OK
AL590447:40177-42366 ; AL590447:40177-42366(+); OK
AL590445:28275-30458 ; AL590445:28275-30458(+); OK
AL590446:121060-123240 ; AL590446:121060-123240(+); OK
AL590448:71772-73952 ; AL590448:71772-73952(+); OK
AL590444:139795-141963 ; AL590444:139795-141963(+); OK
AL590448:142790-144955 ; AL590448:142790-144955(+); OK
AL391737:102567-104723 ; AL391737:102567-104723(+); OK
AL590442:74810-76966 ; AL590442:74810-76966(+); OK
AL590451:c(29447-31597) ; AL590451:29447-31597(-); OK
AL590451:216336-218486 ; AL590451:216336-218486(+); OK
AL590443:68338-70482 ; AL590443:68290-70482(+); error - start (68338/68290)
AL590442:175831-177972 ; AL590442:175861-177972(+); error - start (175831/175861)
AL590443:132330-134465 ; AL590443:132330-134465(+); OK
AL590447:33815-35944 ; AL590447:33815-35944(+); OK
AL590442:136274-138400 ; AL590442:136274-138400(+); OK
AL590445:c(106238-108361) ; AL590445:106238-108361(-); OK
AL590450:c(102418-104541) ; AL590450:102418-104541(-); OK
