PROTEOME ; FUNANNOTATE ; ERROR FUNANNOTATE
ACOL01000041:c(4728-14909) ; contig54:4728-14909(-); OK
ACOL01000002:21193-29538 ; contig54:21193-29538(+); OK
ACOL01000014:14249-22024 ; ND ; ND
ACOL01000007:c(5451-10727) ; contig54:5451-10727(-); OK
ACOL01000103:c(2758-7962) ; contig53:2758-7962(-); OK
ACOL01000252:453-5483 ; ND ; ND
ACOL01000247:49-4887 ; contig52:49-4887(+); OK
ACOL01000219:c(47-4831) ; contig52:47-4831(-); OK
ACOL01000062:686-5146 ; ND ; ND
ACOL01000129:c(4557-8882) ; contig53:4557-8003(-); error - start (8882/8003)
ACOL01000003:c(8512-12756) ; contig54:8512-12756(-); OK
ACOL01000094:4281-8288 ; contig53:4281-8288(+); OK
ACOL01000149:3959-7876 ; contig53:3959-7876(+); OK
ACOL01000010:3920-7708 ; ND ; ND
ACOL01000005:28091-31822 ; contig54:28091-31822(+); OK
ACOL01000143:c(4679-8266) ; contig53:4679-8266(-); OK
ACOL01000121:c(4073-7540) ; contig53:4073-5221(-); error - start (7540/5221)
ACOL01000058:1893-5342 ; contig54:1893-5342(+); OK
ACOL01000017:13005-16448 ; contig54:13005-16448(+); OK
ACOL01000075:c(364-3795) ; contig53:364-3795(-); OK
ACOL01000003:c(33-3428) ; contig54:33-3428(-); OK
ACOL01000138:5285-8680 ; ND ; ND
ACOL01000076:9173-12505 ; contig53:9314-12505(+); error - start (9173/9314)
ACOL01000001:c(58010-61285) ; contig54:58010-61285(-); OK
ACOL01000045:c(3239-6514) ; ND ; ND
ACOL01000038:c(771-3935) ; contig54:771-3935(-); OK
ACOL01000004:7561-10713 ; contig54:7561-10713(+); OK
ACOL01000062:6422-9562 ; contig54:6422-9562(+); OK
ACOL01000080:972-4109 ; contig53:972-4109(+); OK
ACOL01000093:c(1999-5112) ; ND ; ND
ACOL01000001:c(39119-42196) ; contig54:39119-42196(-); OK
ACOL01000205:c(3225-6290) ; contig52:3225-6290(-); OK
ACOL01000077:7769-10762 ; contig53:8312-10762(+); error - start (7769/8312)
ACOL01000059:c(12356-15340) ; contig54:12356-15340(-); OK
ACOL01000024:c(15097-18078) ; contig54:15097-18078(-); OK
ACOL01000134:c(4227-7184) ; contig53:4227-7073(-); error - start (7184/7073)
ACOL01000086:8643-11576 ; contig53:8643-11576(+); OK
ACOL01000032:c(8849-11776) ; contig54:8849-11776(-); OK
ACOL01000105:6663-9581 ; contig53:6663-9581(+); OK
ACOL01000319:c(1277-4159) ; contig51:1277-4159(-); OK
ACOL01000014:11038-13899 ; contig54:11881-13899(+); error - start (11038/11881)
ACOL01000010:11542-14400 ; contig54:11542-14400(+); OK
ACOL01000175:c(4158-7010) ; contig52:4158-7010(-); OK
ACOL01000115:c(4278-7064) ; contig53:4278-7064(-); OK
ACOL01000061:11077-13845 ; contig54:11077-13845(+); OK
ACOL01000272:92-2854 ; contig51:179-2854(+); error - start (92/179)
ACOL01000205:c(497-3202) ; contig52:497-3202(-); OK
ACOL01000329:c(624-3329) ; contig51:624-2444(-); error - start (3329/2444)
ACOL01000032:1908-4604 ; contig54:1908-4604(+); OK
ACOL01000057:12024-14678 ; contig54:12024-14678(+); OK
ACOL01000044:9161-11812 ; contig54:9161-11812(+); OK
ACOL01000001:c(35932-38574) ; contig54:35932-37764(-); error - start (38574/37764)
ACOL01000081:c(1230-3869) ; contig53:1230-3869(-); OK
ACOL01000039:c(15557-18181) ; contig54:15557-18181(-); OK
ACOL01000115:7508-10123 ; contig53:7508-10123(+); OK
ACOL01000017:c(5305-7917) ; ND ; ND
ACOL01000084:4506-7115 ; ND ; ND
ACOL01000135:5150-7756 ; contig53:5150-7756(+); OK
ACOL01000004:14133-16733 ; contig54:14907-16733(+); error - start (14133/14907)
ACOL01000011:5959-8559 ; contig54:5959-8559(+); OK
