PROTEOME ; PRODIGAL ; ERROR PRODIGAL
ACOL01000041:c(4728-14909) ; ACOL01000041BRL01_0000:4728-14909(-); OK
ACOL01000002:21193-29538 ; ACOL01000002BRL01_0000:21193-29538(+); OK
ACOL01000014:14249-22024 ; ACOL01000014BRL01_0000:14249-22024(+); OK
ACOL01000007:c(5451-10727) ; ACOL01000007BRL01_0000:5451-10727(-); OK
ACOL01000103:c(2758-7962) ; ACOL01000103BRL01_0001:2758-7962(-); OK
ACOL01000252:453-5483 ; ACOL01000252BRL01_0002:402-5483(+); error - start (453/402)
ACOL01000247:49-4887 ; ACOL01000247BRL01_0002:49-4887(+); OK
ACOL01000219:c(47-4831) ; ACOL01000219BRL01_0002:47-4831(-); OK
ACOL01000062:686-5146 ; ACOL01000062BRL01_0000:686-5146(+); OK
ACOL01000129:c(4557-8882) ; ACOL01000129BRL01_0001:4557-8882(-); OK
ACOL01000003:c(8512-12756) ; ACOL01000003BRL01_0000:8512-12756(-); OK
ACOL01000094:4281-8288 ; ACOL01000094BRL01_0000:4281-8288(+); OK
ACOL01000149:3959-7876 ; ACOL01000149BRL01_0001:3959-7876(+); OK
ACOL01000010:3920-7708 ; ACOL01000010BRL01_0000:3920-7708(+); OK
ACOL01000005:28091-31822 ; ACOL01000005BRL01_0000:28091-31822(+); OK
ACOL01000143:c(4679-8266) ; ACOL01000143BRL01_0001:4679-8266(-); OK
ACOL01000121:c(4073-7540) ; ACOL01000121BRL01_0001:4073-7540(-); OK
ACOL01000058:1893-5342 ; ACOL01000058BRL01_0000:1893-5342(+); OK
ACOL01000017:13005-16448 ; ACOL01000017BRL01_0000:13005-16448(+); OK
ACOL01000075:c(364-3795) ; ACOL01000075BRL01_0000:364-3795(-); OK
ACOL01000003:c(33-3428) ; ACOL01000003BRL01_0000:33-3428(-); OK
ACOL01000138:5285-8680 ; ACOL01000138BRL01_0001:5285-8680(+); OK
ACOL01000076:9173-12505 ; ACOL01000076BRL01_0000:9146-12505(+); error - start (9173/9146)
ACOL01000001:c(58010-61285) ; ACOL01000001BRL01_0000:58010-61285(-); OK
ACOL01000045:c(3239-6514) ; ACOL01000045BRL01_0000:3239-6514(-); OK
ACOL01000038:c(771-3935) ; ACOL01000038BRL01_0000:771-3935(-); OK
ACOL01000004:7561-10713 ; ACOL01000004BRL01_0000:7561-10713(+); OK
ACOL01000062:6422-9562 ; ACOL01000062BRL01_0000:6422-9562(+); OK
ACOL01000080:972-4109 ; ACOL01000080BRL01_0000:972-4109(+); OK
